dataset:   breast-cancer.npz
latency:  0.00442981719971
request:  113 {u'default': False, u'output': 0.0, u'query_id': 25250}
latency:  0.00484704971313
request:  114 {u'default': False, u'output': 1.0, u'query_id': 25252}
latency:  0.0027379989624
request:  115 {u'default': False, u'output': 0.0, u'query_id': 25254}
latency:  0.00242710113525
request:  116 {u'default': False, u'output': 0.0, u'query_id': 25256}
latency:  0.00328302383423
request:  117 {u'default': False, u'output': 1.0, u'query_id': 25259}
latency:  0.00345087051392
request:  118 {u'default': False, u'output': 0.0, u'query_id': 25261}
latency:  0.00255799293518
request:  119 {u'default': False, u'output': 1.0, u'query_id': 25263}
latency:  0.00219416618347
request:  120 {u'default': False, u'output': 1.0, u'query_id': 25264}
latency:  0.0022280216217
request:  121 {u'default': False, u'output': 0.0, u'query_id': 25266}
latency:  0.00236010551453
request:  122 {u'default': False, u'output': 0.0, u'query_id': 25269}
latency:  0.00320196151733
request:  123 {u'default': False, u'output': 0.0, u'query_id': 25271}
latency:  0.00393009185791
request:  124 {u'default': False, u'output': 0.0, u'query_id': 25273}
latency:  0.00325989723206
request:  125 {u'default': False, u'output': 1.0, u'query_id': 25275}
latency:  0.00733208656311
request:  126 {u'default': False, u'output': 1.0, u'query_id': 25277}
latency:  0.0038468837738
request:  127 {u'default': False, u'output': 0.0, u'query_id': 25279}
latency:  0.00354814529419
request:  128 {u'default': False, u'output': 1.0, u'query_id': 25281}
latency:  0.0025999546051
request:  129 {u'default': False, u'output': 1.0, u'query_id': 25284}
latency:  0.0035400390625
request:  130 {u'default': False, u'output': 0.0, u'query_id': 25286}
latency:  0.00320100784302
request:  131 {u'default': False, u'output': 1.0, u'query_id': 25288}
latency:  0.0033130645752
request:  132 {u'default': False, u'output': 0.0, u'query_id': 25290}
latency:  0.00317192077637
request:  133 {u'default': False, u'output': 1.0, u'query_id': 25291}
latency:  0.00197601318359
request:  134 {u'default': False, u'output': 1.0, u'query_id': 25293}
latency:  0.00342512130737
request:  135 {u'default': False, u'output': 1.0, u'query_id': 25295}
latency:  0.00202798843384
request:  136 {u'default': False, u'output': 1.0, u'query_id': 25298}
latency:  0.00232601165771
request:  137 {u'default': False, u'output': 0.0, u'query_id': 25299}
latency:  0.00218200683594
request:  138 {u'default': False, u'output': 1.0, u'query_id': 25302}
latency:  0.0022828578949
request:  139 {u'default': False, u'output': 1.0, u'query_id': 25303}
latency:  0.0023729801178
request:  140 {u'default': False, u'output': 0.0, u'query_id': 25306}
latency:  0.00251412391663
request:  141 {u'default': False, u'output': 1.0, u'query_id': 25308}
latency:  0.00240302085876
request:  142 {u'default': False, u'output': 1.0, u'query_id': 25309}
latency:  0.00231599807739
request:  143 {u'default': False, u'output': 1.0, u'query_id': 25312}
latency:  0.00399899482727
request:  144 {u'default': False, u'output': 1.0, u'query_id': 25314}
latency:  0.00381684303284
request:  145 {u'default': False, u'output': 1.0, u'query_id': 25316}
latency:  0.00274705886841
request:  146 {u'default': False, u'output': 1.0, u'query_id': 25318}
latency:  0.00197815895081
request:  147 {u'default': False, u'output': 1.0, u'query_id': 25321}
latency:  0.00223898887634
request:  148 {u'default': False, u'output': 0.0, u'query_id': 25322}
latency:  0.00306677818298
request:  149 {u'default': False, u'output': 1.0, u'query_id': 25324}
latency:  0.00195598602295
request:  150 {u'default': False, u'output': 1.0, u'query_id': 25326}
latency:  0.00231099128723
request:  151 {u'default': False, u'output': 0.0, u'query_id': 25328}
latency:  0.00233888626099
request:  152 {u'default': False, u'output': 1.0, u'query_id': 25330}
latency:  0.00204610824585
request:  153 {u'default': False, u'output': 0.0, u'query_id': 25333}
latency:  0.00233197212219
request:  154 {u'default': False, u'output': 1.0, u'query_id': 25334}
latency:  0.00216603279114
request:  155 {u'default': False, u'output': 0.0, u'query_id': 25336}
latency:  0.0034019947052
request:  156 {u'default': False, u'output': 0.0, u'query_id': 25338}
latency:  0.00286507606506
request:  157 {u'default': False, u'output': 1.0, u'query_id': 25340}
latency:  0.00183987617493
request:  158 {u'default': False, u'output': 1.0, u'query_id': 25342}
latency:  0.00390601158142
request:  159 {u'default': False, u'output': 0.0, u'query_id': 25344}
latency:  0.00186491012573
request:  160 {u'default': False, u'output': 1.0, u'query_id': 25346}
latency:  0.00230693817139
request:  161 {u'default': False, u'output': 0.0, u'query_id': 25348}
latency:  0.00206804275513
request:  162 {u'default': False, u'output': 0.0, u'query_id': 25351}
latency:  0.00209784507751
request:  163 {u'default': False, u'output': 0.0, u'query_id': 25353}
latency:  0.00190305709839
request:  164 {u'default': False, u'output': 1.0, u'query_id': 25354}
latency:  0.00188088417053
request:  165 {u'default': False, u'output': 0.0, u'query_id': 25356}
latency:  0.00186586380005
request:  166 {u'default': False, u'output': 0.0, u'query_id': 25358}
latency:  0.00243806838989
request:  167 {u'default': False, u'output': 0.0, u'query_id': 25360}
latency:  0.00360298156738
request:  168 {u'default': False, u'output': 1.0, u'query_id': 25362}
latency:  0.0022349357605
request:  169 {u'default': False, u'output': 1.0, u'query_id': 25364}
latency:  0.00368881225586
request:  170 {u'default': False, u'output': 1.0, u'query_id': 25366}
latency:  0.00294899940491
request:  171 {u'default': False, u'output': 1.0, u'query_id': 25368}
latency:  0.00262594223022
request:  172 {u'default': False, u'output': 0.0, u'query_id': 25370}
latency:  0.00182604789734
request:  173 {u'default': False, u'output': 1.0, u'query_id': 25372}
latency:  0.00337600708008
request:  174 {u'default': False, u'output': 0.0, u'query_id': 25374}
latency:  0.00214505195618
request:  175 {u'default': False, u'output': 1.0, u'query_id': 25376}
latency:  0.00328016281128
request:  176 {u'default': False, u'output': 1.0, u'query_id': 25379}
latency:  0.0021870136261
request:  177 {u'default': False, u'output': 1.0, u'query_id': 25381}
latency:  0.00245404243469
request:  178 {u'default': False, u'output': 1.0, u'query_id': 25382}
latency:  0.0028190612793
request:  179 {u'default': False, u'output': 0.0, u'query_id': 25385}
latency:  0.00258207321167
request:  180 {u'default': False, u'output': 1.0, u'query_id': 25387}
latency:  0.00189805030823
request:  181 {u'default': False, u'output': 0.0, u'query_id': 25389}
latency:  0.00188493728638
request:  182 {u'default': False, u'output': 1.0, u'query_id': 25391}
latency:  0.00213217735291
request:  183 {u'default': False, u'output': 1.0, u'query_id': 25392}
latency:  0.00189900398254
request:  184 {u'default': False, u'output': 1.0, u'query_id': 25394}
latency:  0.00182509422302
request:  185 {u'default': False, u'output': 1.0, u'query_id': 25396}
latency:  0.00204801559448
request:  186 {u'default': False, u'output': 0.0, u'query_id': 25398}
latency:  0.00202798843384
request:  187 {u'default': False, u'output': 1.0, u'query_id': 25400}
latency:  0.00179982185364
request:  188 {u'default': False, u'output': 1.0, u'query_id': 25402}
latency:  0.00257897377014
request:  189 {u'default': False, u'output': 1.0, u'query_id': 25403}
latency:  0.00217604637146
request:  190 {u'default': False, u'output': 0.0, u'query_id': 25405}
latency:  0.00203609466553
request:  191 {u'default': False, u'output': 1.0, u'query_id': 25407}
latency:  0.0026969909668
request:  192 {u'default': False, u'output': 1.0, u'query_id': 25409}
latency:  0.00204014778137
request:  193 {u'default': False, u'output': 1.0, u'query_id': 25412}
latency:  0.00336813926697
request:  194 {u'default': False, u'output': 1.0, u'query_id': 25414}
latency:  0.00399017333984
request:  195 {u'default': False, u'output': 1.0, u'query_id': 25416}
latency:  0.00303101539612
request:  196 {u'default': False, u'output': 0.0, u'query_id': 25418}
latency:  0.00287914276123
request:  197 {u'default': False, u'output': 1.0, u'query_id': 25420}
latency:  0.00408005714417
request:  198 {u'default': False, u'output': 1.0, u'query_id': 25422}
latency:  0.00474619865417
request:  199 {u'default': False, u'output': 1.0, u'query_id': 25424}
latency:  0.00241994857788
request:  200 {u'default': False, u'output': 0.0, u'query_id': 25426}
latency:  0.0029718875885
request:  201 {u'default': False, u'output': 0.0, u'query_id': 25428}
latency:  0.00230312347412
request:  202 {u'default': False, u'output': 0.0, u'query_id': 25431}
latency:  0.00304222106934
request:  203 {u'default': False, u'output': 1.0, u'query_id': 25433}
latency:  0.00249004364014
request:  204 {u'default': False, u'output': 0.0, u'query_id': 25435}
latency:  0.00258111953735
request:  205 {u'default': False, u'output': 0.0, u'query_id': 25437}
latency:  0.00365686416626
request:  206 {u'default': False, u'output': 0.0, u'query_id': 25439}
latency:  0.00278210639954
request:  207 {u'default': False, u'output': 1.0, u'query_id': 25441}
latency:  0.00356101989746
request:  208 {u'default': False, u'output': 1.0, u'query_id': 25443}
latency:  0.00274991989136
request:  209 {u'default': False, u'output': 1.0, u'query_id': 25445}
latency:  0.00275087356567
request:  210 {u'default': False, u'output': 0.0, u'query_id': 25447}
latency:  0.00199794769287
request:  211 {u'default': False, u'output': 0.0, u'query_id': 25449}
latency:  0.00285792350769
request:  212 {u'default': False, u'output': 1.0, u'query_id': 25451}
latency:  0.00242495536804
request:  213 {u'default': False, u'output': 0.0, u'query_id': 25453}
latency:  0.00262713432312
request:  214 {u'default': False, u'output': 0.0, u'query_id': 25455}
latency:  0.00263905525208
request:  215 {u'default': False, u'output': 0.0, u'query_id': 25457}
latency:  0.00414395332336
request:  216 {u'default': False, u'output': 0.0, u'query_id': 25460}
latency:  0.00392317771912
request:  217 {u'default': False, u'output': 1.0, u'query_id': 25462}
latency:  0.00270104408264
request:  218 {u'default': False, u'output': 0.0, u'query_id': 25464}
latency:  0.00279402732849
request:  219 {u'default': False, u'output': 1.0, u'query_id': 25466}
latency:  0.00269913673401
request:  220 {u'default': False, u'output': 0.0, u'query_id': 25468}
latency:  0.00395202636719
request:  221 {u'default': False, u'output': 1.0, u'query_id': 25470}
latency:  0.00282406806946
request:  222 {u'default': False, u'output': 1.0, u'query_id': 25472}
latency:  0.00201487541199
request:  223 {u'default': False, u'output': 1.0, u'query_id': 25474}
latency:  0.00332593917847
request:  224 {u'default': False, u'output': 1.0, u'query_id': 25476}
latency:  0.00338006019592
request:  225 {u'default': False, u'output': 1.0, u'query_id': 25478}
latency:  0.00342011451721
request:  226 {u'default': False, u'output': 0.0, u'query_id': 25480}
latency:  0.00239491462708
request:  227 {u'default': False, u'output': 1.0, u'query_id': 25482}
latency:  0.00257992744446
request:  228 {u'default': False, u'output': 0.0, u'query_id': 25484}
latency:  0.00256299972534
request:  229 {u'default': False, u'output': 0.0, u'query_id': 25487}
latency:  0.00369906425476
request:  230 {u'default': False, u'output': 1.0, u'query_id': 25489}
latency:  0.00335216522217
request:  231 {u'default': False, u'output': 1.0, u'query_id': 25491}
latency:  0.00179100036621
request:  232 {u'default': False, u'output': 1.0, u'query_id': 25493}
latency:  0.00278401374817
request:  233 {u'default': False, u'output': 1.0, u'query_id': 25495}
latency:  0.00221180915833
request:  234 {u'default': False, u'output': 0.0, u'query_id': 25497}
latency:  0.00278210639954
request:  235 {u'default': False, u'output': 1.0, u'query_id': 25499}
latency:  0.0027539730072
request:  236 {u'default': False, u'output': 0.0, u'query_id': 25501}
latency:  0.00248217582703
request:  237 {u'default': False, u'output': 1.0, u'query_id': 25503}
latency:  0.0025520324707
request:  238 {u'default': False, u'output': 1.0, u'query_id': 25505}
latency:  0.00330185890198
request:  239 {u'default': False, u'output': 1.0, u'query_id': 25507}
latency:  0.0022919178009
request:  240 {u'default': False, u'output': 1.0, u'query_id': 25509}
latency:  0.00228500366211
request:  241 {u'default': False, u'output': 1.0, u'query_id': 25511}
latency:  0.00260090827942
request:  242 {u'default': False, u'output': 1.0, u'query_id': 25512}
latency:  0.00275707244873
request:  243 {u'default': False, u'output': 0.0, u'query_id': 25514}
latency:  0.00246000289917
request:  244 {u'default': False, u'output': 1.0, u'query_id': 25516}
latency:  0.0028829574585
request:  245 {u'default': False, u'output': 0.0, u'query_id': 25518}
latency:  0.00250005722046
request:  246 {u'default': False, u'output': 1.0, u'query_id': 25520}
latency:  0.00347995758057
request:  247 {u'default': False, u'output': 1.0, u'query_id': 25523}
latency:  0.00373101234436
request:  248 {u'default': False, u'output': 1.0, u'query_id': 25525}
latency:  0.00189900398254
request:  249 {u'default': False, u'output': 1.0, u'query_id': 25526}
latency:  0.00225615501404
request:  250 {u'default': False, u'output': 0.0, u'query_id': 25528}
latency:  0.00203609466553
request:  251 {u'default': False, u'output': 1.0, u'query_id': 25530}
latency:  0.00310015678406
request:  252 {u'default': False, u'output': 1.0, u'query_id': 25532}
latency:  0.00194406509399
request:  253 {u'default': False, u'output': 0.0, u'query_id': 25534}
latency:  0.00196385383606
request:  254 {u'default': False, u'output': 0.0, u'query_id': 25536}
latency:  0.00199508666992
request:  255 {u'default': False, u'output': 0.0, u'query_id': 25538}
latency:  0.00191617012024
request:  256 {u'default': False, u'output': 1.0, u'query_id': 25540}
latency:  0.0025851726532
request:  257 {u'default': False, u'output': 1.0, u'query_id': 25542}
latency:  0.00357604026794
request:  258 {u'default': False, u'output': 0.0, u'query_id': 25544}
latency:  0.00352597236633
request:  259 {u'default': False, u'output': 1.0, u'query_id': 25547}
latency:  0.00390386581421
request:  260 {u'default': False, u'output': 1.0, u'query_id': 25549}
latency:  0.00345301628113
request:  261 {u'default': False, u'output': 1.0, u'query_id': 25551}
latency:  0.00202989578247
request:  262 {u'default': False, u'output': 0.0, u'query_id': 25553}
latency:  0.00284194946289
request:  263 {u'default': False, u'output': 1.0, u'query_id': 25555}
latency:  0.00198817253113
request:  264 {u'default': False, u'output': 0.0, u'query_id': 25557}
latency:  0.00196599960327
request:  265 {u'default': False, u'output': 0.0, u'query_id': 25560}
latency:  0.00225496292114
request:  266 {u'default': False, u'output': 0.0, u'query_id': 25562}
latency:  0.0040819644928
request:  267 {u'default': False, u'output': 0.0, u'query_id': 25564}
latency:  0.00374794006348
request:  268 {u'default': False, u'output': 1.0, u'query_id': 25566}
latency:  0.00333905220032
request:  269 {u'default': False, u'output': 0.0, u'query_id': 25569}
latency:  0.00362706184387
request:  270 {u'default': False, u'output': 1.0, u'query_id': 25572}
latency:  0.00278115272522
request:  271 {u'default': False, u'output': 1.0, u'query_id': 25573}
latency:  0.00216293334961
request:  272 {u'default': False, u'output': 1.0, u'query_id': 25576}
latency:  0.00284290313721
request:  273 {u'default': False, u'output': 1.0, u'query_id': 25578}
latency:  0.00259304046631
request:  274 {u'default': False, u'output': 1.0, u'query_id': 25580}
latency:  0.0021231174469
request:  275 {u'default': False, u'output': 0.0, u'query_id': 25582}
latency:  0.00246405601501
request:  276 {u'default': False, u'output': 1.0, u'query_id': 25584}
latency:  0.00238800048828
request:  277 {u'default': False, u'output': 1.0, u'query_id': 25586}
latency:  0.00381398200989
request:  278 {u'default': False, u'output': 1.0, u'query_id': 25588}
latency:  0.00176191329956
request:  279 {u'default': False, u'output': 0.0, u'query_id': 25590}
latency:  0.00338387489319
request:  280 {u'default': False, u'output': 0.0, u'query_id': 25593}
latency:  0.00269794464111
request:  281 {u'default': False, u'output': 1.0, u'query_id': 25595}
latency:  0.0027928352356
request:  282 {u'default': False, u'output': 1.0, u'query_id': 25597}
latency:  0.00231695175171
request:  283 {u'default': False, u'output': 0.0, u'query_id': 25598}
latency:  0.00224900245667
request:  284 {u'default': False, u'output': 1.0, u'query_id': 25601}
latency:  0.00368213653564
request:  285 {u'default': False, u'output': 1.0, u'query_id': 25603}
latency:  0.00194501876831
request:  286 {u'default': False, u'output': 0.0, u'query_id': 25605}
latency:  0.0027129650116
request:  287 {u'default': False, u'output': 0.0, u'query_id': 25607}
latency:  0.00355887413025
request:  288 {u'default': False, u'output': 1.0, u'query_id': 25609}
latency:  0.00337910652161
request:  289 {u'default': False, u'output': 1.0, u'query_id': 25611}
latency:  0.00313591957092
request:  290 {u'default': False, u'output': 1.0, u'query_id': 25613}
latency:  0.00287103652954
request:  291 {u'default': False, u'output': 1.0, u'query_id': 25615}
latency:  0.0028669834137
request:  292 {u'default': False, u'output': 1.0, u'query_id': 25617}
latency:  0.00381708145142
request:  293 {u'default': False, u'output': 1.0, u'query_id': 25620}
latency:  0.00264406204224
request:  294 {u'default': False, u'output': 0.0, u'query_id': 25621}
latency:  0.00272798538208
request:  295 {u'default': False, u'output': 1.0, u'query_id': 25624}
latency:  0.00236105918884
request:  296 {u'default': False, u'output': 1.0, u'query_id': 25626}
latency:  0.00278401374817
request:  297 {u'default': False, u'output': 0.0, u'query_id': 25628}
latency:  0.00232005119324
request:  298 {u'default': False, u'output': 1.0, u'query_id': 25630}
latency:  0.00226497650146
request:  299 {u'default': False, u'output': 0.0, u'query_id': 25632}
latency:  0.00176692008972
request:  300 {u'default': False, u'output': 1.0, u'query_id': 25634}
latency:  0.0024938583374
request:  301 {u'default': False, u'output': 0.0, u'query_id': 25636}
latency:  0.00185799598694
request:  302 {u'default': False, u'output': 0.0, u'query_id': 25638}
latency:  0.00335907936096
request:  303 {u'default': False, u'output': 0.0, u'query_id': 25640}
latency:  0.00240707397461
request:  304 {u'default': False, u'output': 0.0, u'query_id': 25643}
latency:  0.00302410125732
request:  305 {u'default': False, u'output': 1.0, u'query_id': 25645}
latency:  0.00224900245667
request:  306 {u'default': False, u'output': 1.0, u'query_id': 25647}
latency:  0.00185513496399
request:  307 {u'default': False, u'output': 1.0, u'query_id': 25649}
latency:  0.00202798843384
request:  308 {u'default': False, u'output': 1.0, u'query_id': 25651}
latency:  0.00211501121521
request:  309 {u'default': False, u'output': 0.0, u'query_id': 25653}
latency:  0.00284695625305
request:  310 {u'default': False, u'output': 0.0, u'query_id': 25655}
latency:  0.00210404396057
request:  311 {u'default': False, u'output': 0.0, u'query_id': 25657}
latency:  0.00223112106323
request:  312 {u'default': False, u'output': 1.0, u'query_id': 25658}
latency:  0.00359606742859
request:  313 {u'default': False, u'output': 0.0, u'query_id': 25660}
latency:  0.00212979316711
request:  314 {u'default': False, u'output': 1.0, u'query_id': 25662}
latency:  0.00276899337769
request:  315 {u'default': False, u'output': 1.0, u'query_id': 25665}
latency:  0.00340890884399
request:  316 {u'default': False, u'output': 1.0, u'query_id': 25667}
